TOMBAMENTO DO ACERVO DA BIBLIOTECA DA EEEP VALTER NUNES DE ALENCAR ,,,,,,,,,,,,,,
Nº. DE TOMBO,DATA,CDD/CDU,ÍNDICES PARA CATÁLOGO SISTEMÁTICO,AUTOR/ES,TÍTULO,VOLUME,EX,LOCAL,EDITORA,ANO DE PUBLIC.,FORMA DE AQUISIÇÃO,EDIÇÃO,OBSERVAÇÃO,
0001/2019,10/06/19,CDD-869.93,1. Romances: Literatura brasileira,"ALENCAR, José de ",O TRONCO DO YPÊ,ÚNICO,,SÃO PAULO,RIDEEL,1997,,1ª,EXTRAVIADO,
0002/2019,10/06/19,CDD-869.3,1. Romances: Literatura portuguesa,"QUEIRÓS, Eça de",O CRIME DO PADRE AMARO,ÚNICO,1,SÃO PAULO,RIDEEL,2000,,1ª,,
0003/2019,10/06/19,CDD-869.93,1. Romances: Literatura brasileira,"BARRETO, Lima",CLARA DOS ANJOS,ÚNICO,,SÃO PAULO,RIDEEL,2002,,1ª,EXTRAVIADO ,
0004/2019,10/06/19,CDD-869.93,1. Romances: Literatura brasileira,"AZEVEDO, Aluísio",O MULATO,ÚNICO,1,SÃO PAULO,RIDEEL,2000,,1ª,EXTRAVIADO/RESSARCIDO COM OUTRO TÍTULO,
0005/2019,10/06/19,CDD-869.93,1. Romances: Literatura brasileira,"GUIMARÃES, Bernardo",O SEMINARISTA,ÚNICO,1,SÃO PAULO,RIDEEL,2000,,1ª,,
0006/2019,10/06/19,CDD-869.93,1. Romances: Literatura brasileira,"ALENCAR, José de ",O GUARANI,ÚNICO,1,SÃO PAULO,RIDEEL,1997,,1ª,,
0007/2019,10/06/19,CDD-869.93,1. Romances: Literatura brasileira,"ASSIS, Machado de",ESAÚ E JACÓ,ÚNICO,1,SÃO PAULO,ÁTICA,2006,,12ª,,
0008/2019,10/06/19,CDD-813,1. Literatura. Romance.,"SALES, Antônio",AVES DE ARRIBAÇÃO,ÚNICO,1,FORTALEZA,UFC,2009,,1ª,,
0009/2019,10/06/19,CDD-869.93,1. Contos: Literatura brasileira,"LESSA, Orígenes",MELHORES CONTOS: ORÍGENES LESSA,ÚNICO,1,SÃO PAULO,GLOBAL,2003,,1ª,,
0010/2019,10/06/19,CDD-869.93,1. Contos: Literatura brasileira,"LESSA, Orígenes",MELHORES CONTOS: ORÍGENES LESSA,ÚNICO,2,SÃO PAULO,GLOBAL,2003,,1ª,DOADO PARA A CASA PITIA,
0011/2019,10/06/19,CDD-869.935,1. Contos: Século 20: Literatura brasileira,"BRANDÃO, Ignácio de Loyola",MELHORES CONTOS IGNÁCIO DE LOYOLA BRANDÃO,ÚNICO,1,SÃO PAULO,GLOBAL,1936,,5ª,,
0012/2019,10/06/19,CDD-869.93,1. Contos: Literatura brasileira,"ARRIGUCCI JR., Davi",MELHORES CONTOS RUBEM BRAGA,ÚNICO,,SÃO PAULO,GLOBAL,2010,,12ª,,
0013/2019,10/06/19,CDD-869-935,1. Contos: Século 20: Literatura brasileira,"VEIGA, José J. ",MELHORES CONTOS J. J. VEIGA,ÚNICO,,SÃO PAULO,GLOBAL,2000,,4ª,,
0014/2019,10/06/19,CDD-869.9108004,1. Contos: Século 20: Literatura brasileira,"ANDRADE, Mário de",MELHORES CONTOS DE MÁRIO DE ANDRADE,ÚNICO,,SÃO PAULO,GLOBAL,2003,,7ª,,
0015/2019,10/06/19,CDD-869.935,1. Contos: Século 20: Literatura brasileira,"ALPHONSUS, João",MELHORES CONTOS: JOÃO ALPHONSUS,ÚNICO,,SÃO PAULO,GLOBAL,2001,,1ª,,
0016/2019,10/06/19,CDD-869-93,1. Crônicas: Literatura brasileira,"BANDEIRA, Manuel",MANUEL BANDEIRA,ÚNICO,,SÃO PAULO,GLOBAL,2003,,1ª,,
0017/2019,10/06/19,CDD-869.93,1. Crônicas: Literatura brasileira,"SANT'ANNA, Affonso Romano de",AFFONSO ROMANO DE SANT'ANNA,ÚNICO,1,SÃO PAULO,GLOBAL,2003,,1ª,,
0018/2019,10/06/19,CDD-869.93,1. Crônicas brasieliras,VÁRIOS AUTORES,O MELHOR DA CRÔNICA BRASIELIRA,V. 1,,RIO DE JANEIRO,J. OLYMPIO,1980,,1ª,,
0019/2019,10/06/19,CDD-842,1. Teatro: Literatura francesa,"ROSTAND, Edmond",CYRANO DE BERGERAC,ÚNICO,1,SÃO PAULO,OBJETIVO,,,,,
0020/2019,10/06/19,CDD-869.92,1. Teatro: Literatura brasileira,"AMARAL, Maria Adelaide",MELHOR TEATRO: MARIA ADELAIDE AMARAL,ÚNICO,1,SÃO PAULO,GLOBAL,2006,,1ª,,
0021/2019,10/06/19,CDD-869.92,1. Teatro: Literatura brasileira,"AMARAL, Maria Adelaide",MELHOR TEATRO: MARIA ADELAIDE AMARAL,ÚNICO,2,SÃO PAULO,GLOBAL,2006,,1ª,,
0022/2019,10/06/19,CDD-800,1. Literatura ,"CAMPOS, Eduardo",TRÊS PEÇAS ESCOLHIDAS,ÚNICO,1,FORTALEZA,UFC,2009,,1ª,,
